,State,CD,HRC,DJT,HRCper,DJTper
327,42,7,3,2,0.6,0.4
328,42,8,3,3,0.5,0.5
329,42,9,5,2,0.7,0.3
330,42,10,1,5,0.2,0.8
331,42,11,2,3,0.4,0.6
332,42,12,2,3,0.4,0.6
333,42,13,2,0,0,0
334,42,14,1,3,0.2,0.8
335,42,15,5,9,0.4,0.6
336,42,16,2,4,0.3,0.7
337,42,17,14,4,0.8,0.2
338,42,18,4,4,0.5,0.5
339,44,1,2,3,0.4,0.6
340,44,2,3,0,0,0
341,45,1,4,2,0.7,0.3
342,45,2,3,2,0.6,0.4
343,45,3,5,2,0.7,0.3
344,45,4,1,0,0,0
345,45,5,6,5,0.5,0.5
346,45,6,4,3,0.6,0.4
347,45,7,5,5,0.5,0.5
348,46,1,0,5,0,0
349,47,1,1,4,0.2,0.8
350,47,2,14,11,0.6,0.4
351,47,3,9,9,0.5,0.5
352,47,4,1,4,0.2,0.8
353,47,5,7,13,0.4,0.6
354,47,6,0,5,0,0
355,47,7,1,4,0.2,0.8
356,47,8,0,2,0,0
357,47,9,4,2,0.7,0.3
358,48,1,1,3,0.2,0.8
359,48,2,1,2,0.3,0.7
360,48,3,1,2,0.3,0.7
361,48,4,1,1,0.5,0.5
362,48,5,4,1,0.8,0.2
363,48,6,0,5,0,0
364,48,7,5,3,0.6,0.4
365,48,8,0,7,0,0
366,48,9,3,0,0,0
367,48,10,5,7,0.4,0.6
368,48,11,0,3,0,0
369,48,12,2,2,0.5,0.5
370,48,14,3,2,0.6,0.4
371,48,15,18,7,0.7,0.3
372,48,16,3,2,0.6,0.4
373,48,17,2,3,0.4,0.6
374,48,18,1,0,0,0
375,48,19,1,2,0.3,0.7
376,48,20,0,3,0,0
377,48,21,1,3,0.2,0.8
378,48,22,1,0,0,0
379,48,23,1,0,0,0
380,48,24,2,3,0.4,0.6
381,48,25,1,2,0.3,0.7
382,48,26,4,3,0.6,0.4
383,48,27,2,1,0.7,0.3
384,48,28,2,1,0.7,0.3
385,48,29,6,0,0,0
386,48,30,4,1,0.8,0.2
387,48,31,1,1,0.5,0.5
388,48,32,4,4,0.5,0.5
389,48,33,0,2,0,0
390,48,34,1,0,0,0
391,48,35,6,3,0.7,0.3
392,48,36,1,3,0.2,0.8
393,49,1,1,0,0,0
394,49,2,1,3,0.2,0.8
395,49,3,1,1,0.5,0.5
396,49,4,3,3,0.5,0.5
397,50,1,6,1,0.9,0.1
398,51,1,0,4,0,0
399,51,2,1,2,0.3,0.7
400,51,3,2,2,0.5,0.5
401,51,4,2,1,0.7,0.3
402,51,5,1,1,0.5,0.5
403,51,6,1,5,0.2,0.8
404,51,7,0,3,0,0
405,51,8,9,1,0.9,0.1
406,51,9,3,3,0.5,0.5
407,51,10,1,6,0.1,0.9
408,51,11,8,2,0.8,0.2
409,53,1,0,1,0,0
410,53,2,5,0,0,0
411,53,3,9,10,0.5,0.5
412,53,4,1,2,0.3,0.7
413,53,5,2,2,0.5,0.5
414,53,6,3,1,0.8,0.2
415,53,7,7,0,0,0
416,53,8,3,3,0.5,0.5
417,53,9,4,1,0.8,0.2
418,53,10,2,1,0.7,0.3
419,54,1,1,2,0.3,0.7
420,54,2,0,3,0,0
421,54,3,1,3,0.2,0.8
422,55,1,1,4,0.2,0.8
423,55,2,8,2,0.8,0.2
424,55,3,5,2,0.7,0.3
425,55,4,5,0,0,0
426,55,5,6,6,0.5,0.5
427,55,6,5,6,0.5,0.5
428,55,7,4,2,0.7,0.3
429,55,8,4,3,0.6,0.4
430,56,1,1,1,0.5,0.5
